tag,serial,mac,hostname
S18-116,WM052534W-51961,F4:54:24:69:37:80,AP710-S18F.501i.116
S18-117,WM052534W-52221,F4:54:24:69:CB:00,AP710-S18F.501i.117
S19-118,WM052534W-51484,F4:54:24:69:70:C0,AP710-S19F.501i.118
S19-119,WM052534W-51570,F4:54:24:68:E9:40,AP710-S19F.501i.119
S19-120,WM052534W-52584,F4:54:24:69:A6:00,AP710-S19F.501i.120
S19-121,WM052534W-51559,F4:54:24:69:34:C0,AP710-S19F.501i.121
S19-122,WM052533W-51382,F4:54:24:66:66:C0,AP710-S19F.501i.122
S19-123,WM052534W-52211,F4:54:24:69:D5:80,AP710-S19F.501i.123
S20-124,WM052533W-51371,F4:54:24:66:88:C0,AP710-S20F.501i.124
S20-125,WM052534W-51091,F4:54:24:68:D2:00,AP710-S20F.501i.125
S20-126,WM052534W-51541,F4:54:24:68:B4:40,AP710-S20F.501i.126
S20-127,WM052534W-51107,F4:54:24:69:51:00,AP710-S20F.501i.127
S20-128,WM052534W-51210,F4:54:24:69:64:80,AP710-S20F.501i.128
S20-129,WM052534W-51505,F4:54:24:69:0B:80,AP710-S20F.501i.129
S21-130,WM052534W-51125,F4:54:24:69:19:80,AP710-S21F.501i.130
S21-131,WM052534W-51298,F4:54:24:68:9F:00,AP710-S21F.501i.131
S21-132,WM052533W-51341,F4:54:24:66:67:C0,AP710-S21F.501i.132
S21-133,WM052534W-51239,F4:54:24:68:8F:C0,AP710-S21F.501i.133
S21-134,WM052534W-52466,F4:54:24:6A:13:C0,AP710-S21F.501i.134
S21-135,WM052534W-51130,F4:54:24:68:A9:C0,AP710-S21F.501i.135
S22-136,WM052534W-51376,F4:54:24:69:26:C0,AP710-S22F.501i.136
